"","curveID","J_ref","J_ref_SE","J_ref_var","E","E_SE","E_var","E_D","E_D_SE","E_D_var","T_opt","T_opt_SE","T_opt_var","Topt_ED_cov","Topt_ED_cor","Amax","AIC","r_sq","breadth_90"
"1",6,85.9730096640396,8.16452837272091,66.6595235489648,0.917005091780887,0.0379788066449418,0.00144238975417388,0.979583993972245,0.031700564710334,0.00100492580295407,30.8865663081997,0.176502839441443,0.031153252330892,0.00242028986879494,0.432562321866426,10.9589358760384,-499.366086702767,0.991039557062579,20
"2",7,17.1640644641362,0.554925164347648,0.307941938026265,0.220836484934984,0.0115848707140323,0.000134209229460844,0.724583392012664,0.0187851098621044,0.00035288035253133,27.7132861093285,0.0970429845975212,0.00941734085959474,0.00164822844580941,0.904147989275002,12.8943177556189,-497.745297204144,0.970116682042521,15
"3",8,11.7721477064293,0.0104135519681682,0.00010844206459374,0.256981981210584,0.00120088351349458,1.44212121298309e-06,6.54222706569229,0.45998407913412,0.211585353056865,35.8595781263448,0.0469838861803338,0.00220748556060656,-0.0121286233865211,-0.561202729635692,16.0717561431487,-316.944623291276,0.997651522577754,4.4
"4",9,15.3104345528698,0.025045527650814,0.000627278455307687,0.135022311675599,0.00208303509796621,4.33903521935911e-06,9.19478266605682,0.82121807038974,0.674399119134647,35.4549642323263,0.0872343538985281,0.00760983250009365,0.0634353775644324,0.885493715175104,18.0243913766682,326.338558145941,0.954016519916417,5.5
"5",10,7.90898551261977,0.00877803086001099,7.70538257793053e-05,0.185915936018188,0.00155403066137746,2.41501129650127e-06,2.68820587019786,0.0220559219603817,0.000486463693522449,32.4034439720058,0.0358737946490919,0.00128692914252522,0.000754855045489602,0.954027795453295,8.77237229709212,-844.139329429202,0.994726047066279,7.7
"6",11,18.9477817602282,0.254810517133821,0.0649283996420051,0.233512564404681,0.00748735212997964,5.60604419183106e-05,1.06728434668766,0.0186469298435493,0.00034770799259025,27.4779869132595,0.0707525804997322,0.00500592764737108,0.00124317490851547,0.942285731757827,15.9533092875222,-298.044225432817,0.981939498170582,11.3
"7",12,10.2146460969193,0.0139681658598923,0.000195109657489461,0.115258699424791,0.00241362169794282,5.8255697007804e-06,3.02275616982628,0.0901810794677081,0.00813262709396108,33.6415488904184,0.0809556354129721,0.00655381490511807,0.00698734528719969,0.957083192411153,11.1480936275289,-335.900292968386,0.951717325710962,9.5
"8",13,17.2893312034981,0.0345568563125286,0.00119417631820475,0.106461996853526,0.00235866444289743,5.56329795418863e-06,1.79806726895304,0.0285967612746021,0.000817774755396584,29.3710658529,0.0501344326656234,0.00251346133870392,0.00130489262885017,0.910168546747292,17.2689135879995,-518.857203415873,0.991209354667239,12.3
"9",14,8.87090019891397,0.0062144815323872,3.86197807163815e-05,0.10444013292984,0.000648804325216936,4.20947052420204e-07,14.6451981678561,2.955352556164,8.73410873122512,37.9755220323175,0.0615226399189086,0.00378503522259169,0.107008350929962,0.58853651276274,10.4342936096703,-601.049944268344,0.991466719655336,5.80000000000001
"10",15,17.3513445312596,15.5209365186844,240.899470417031,0.271160401518239,0.120301134492186,0.0144723629601069,0.272272464992456,0.0586912476302227,0.00344466254839212,397.415761657795,22717.7553670543,516096408.917323,-1318.96775604678,-0.989225763233122,24.8466536422734,-610.665825041191,0.996625046410182,NA
"11",16,9.551151183336,0.0216887573635656,0.000470402195975619,0.145224114703992,0.00239699389151562,5.7455797159632e-06,3.08536929806473,0.151404988236219,0.0229234704628095,32.7892337315587,0.0874498067038844,0.00764746869254674,0.0116891151267528,0.882841212142108,10.5098682448579,-222.144402844904,0.969655365297411,8.3
"12",17,11.0170311087046,0.0494255855378293,0.00244288850575728,0.176209846692103,0.00406812286531789,1.65496236473223e-05,1.83550370429548,0.0825485515596158,0.00681426336459055,32.8325543848738,0.0916295952706094,0.00839598272945568,0.00638951782569593,0.844739613280315,11.8701008432385,-142.647483078923,0.969502868299977,9.7
